question,category,option,number
"What type of software is it?",software_tool,yes,6
,,no,1
,software_vre,yes,1
,,no,6
"On which platform runs the tool?",identification_os,yes,3
,,no,4
,identification_browser,yes,3
,,no,4
,identification_other,yes,1
,,no,6
"For what purpose was the tool developed?",purpose_general,yes,7
,,no,0
,purpose_specific,yes,0
,,no,7
"Which is the financial model of the tool?",funding_free,yes,7
,,no,0
,funding_support,yes,0
,,no,7
,funding_paywall,yes,0
,,no,7
"What is the development stage of the tool?",maturity_release,yes,6
,,no,1
,maturity_beta,yes,1
,,no,6
,maturity_alpha,yes,0
,,no,7
"Which programming languages and technologies are used?",programming_lang_c,yes,0
,,no,7
,programming_lang_java,yes,4
,,no,3
,programming_lang_python,yes,0
,,no,7
,programming_lang_php,yes,1
,,no,6
,programming_lang_r,yes,0
,,no,7
,programming_lang_ruby,yes,0
,,no,7
,programming_lang_xslt,yes,1
,,no,6
,#other,yes,5
,,no,2
,#unknown,yes,0
,,no,7
"Does the tool reuse portions of other existing software?",,yes,4
,,no,3
"Which input formats are supported?",input_format_xml,yes,6
,,no,1
,input_format_xml-tei,yes,6
,,no,1
,input_format_txt,yes,4
,,no,3
,input_format_pdf,yes,3
,,no,4
,input_format_csv,yes,2
,,no,5
,input_format_html,yes,2
,,no,5
,input_format_json,yes,1
,,no,6
,input_format_rdf,yes,1
,,no,6
,#other,yes,4
,,no,3
"Which output formats are supported?",output_format_xml,yes,4
,,no,3
,output_format_xml-tei,yes,4
,,no,3
,output_format_txt,yes,1
,,no,6
,output_format_pdf,yes,4
,,no,3
,output_format_csv,yes,1
,,no,6
,output_format_html,yes,4
,,no,3
,output_format_json,yes,2
,,no,5
,output_format_rdf,yes,1
,,no,6
,#other,yes,3
,,no,4
"Which character encoding formats are supported?",encoding_latin-1,yes,2
,,no,5
,encoding_utf-8,yes,3
,,no,4
,encoding_utf-16,yes,2
,,no,5
,#other,yes,2
,,no,5
,#unknown,yes,4
,,no,3
"Is a pre-processing conversion included?",,yes,4
,,no,3
"Does the documentation list dependencies on other software, libraries or hardware?",,yes,7
,,no,0
,,not applicable,0
"If yes, is the software handling the installation of dependencies during the general installation process (you don't have to install them manually before the installation)?",,yes,1
,,no,6
,,not applicable,0
"Is documentation and/or a manual available? (tool website, wiki, blog, documentation, or tutorial)",,yes,7
,,no,0
"Which format has the documentation?",documentation_format_readme,yes,2
,,no,5
,documentation_format_txt,yes,0
,,no,7
,documentation_format_html,yes,4
,,no,3
,documentation_format_pdf,yes,2
,,no,5
,#other,yes,0
,,no,7
,#not_applicable,yes,0
,,no,7
"Which of the following sections does the documentation contain?",documentation_section_getting,yes,6
,,no,1
,documentation_section_step,yes,5
,,no,2
,documentation_section_example,yes,6
,,no,1
,documentation_section_troubleshooting,yes,3
,,no,4
,documentation_section_faq,yes,2
,,no,5
,documentation_section_support,yes,3
,,no,4
,documentation_section_api,yes,1
,,no,6
,#not_applicable,yes,0
,,no,7
"In what languages is the documentation available?",documentation_language_arabic,yes,0
,,no,7
,documentation_language_chinese,yes,0
,,no,7
,documentation_language_danish,yes,0
,,no,7
,documentation_language_english,yes,6
,,no,1
,documentation_language_finnish,yes,0
,,no,7
,documentation_language_french,yes,0
,,no,7
,documentation_language_german,yes,3
,,no,4
,documentation_language_greek,yes,0
,,no,7
,documentation_language_hebrew,yes,0
,,no,7
,documentation_language_hindi,yes,0
,,no,7
,documentation_language_italian,yes,0
,,no,7
,documentation_language_japanese,yes,0
,,no,7
,documentation_language_latin,yes,0
,,no,7
,documentation_language_norwegian,yes,0
,,no,7
,documentation_language_polish,yes,0
